Corridor_ID,Location,Type,Direction,Movement,Distance_m,Latitude,Longitude
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,245.00,-6.22001067,106.56532167
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,250.00,-6.22000434,106.56536645
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,255.00,-6.21999802,106.56541123
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,260.00,-6.21999055,106.56545571
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,265.00,-6.21997407,106.56549780
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,270.00,-6.21995759,106.56553988
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,275.00,-6.21993921,106.56558108
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,280.00,-6.21991789,106.56562091
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,285.00,-6.21989046,106.56565672
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,290.00,-6.21986101,106.56569066
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,295.00,-6.21982684,106.56572006
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,300.00,-6.21979267,106.56574947
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,305.00,-6.21975461,106.56577324
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,310.00,-6.21971532,106.56579525
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,315.00,-6.21967365,106.56581220
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,320.00,-6.21963168,106.56582823
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,325.00,-6.21958727,106.56583526
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,330.00,-6.21954280,106.56584192
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,335.00,-6.21949807,106.56584654
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,340.00,-6.21945327,106.56584634
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,345.00,-6.21940844,106.56584289
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,350.00,-6.21936373,106.56583840
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,355.00,-6.21931937,106.56583097
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,360.00,-6.21927600,106.56581923
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,365.00,-6.21923398,106.56580342
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,370.00,-6.21919291,106.56578500
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,375.00,-6.21915184,106.56576659
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,380.00,-6.21911272,106.56574432
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,385.00,-6.21907372,106.56572180
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,390.00,-6.21903648,106.56569667
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,395.00,-6.21900133,106.56566846
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,400.00,-6.21896652,106.56563991
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,405.00,-6.21893756,106.56560531
01_BITUNG_RAMP_B_OFF_R002,BITUNG,RAMP,B,OFF,406.37,-6.21892960,106.56559580
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,0.00,-6.21876830,106.56572700
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,5.00,-6.21880732,106.56574945
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,10.00,-6.21884592,106.56577240
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,15.00,-6.21888138,106.56580022
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,20.00,-6.21891683,106.56582804
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,25.00,-6.21895229,106.56585586
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,30.00,-6.21898774,106.56588368
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,35.00,-6.21902457,106.56590962
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,40.00,-6.21906149,106.56593545
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,45.00,-6.21909841,106.56596127
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,50.00,-6.21913688,106.56598463
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,55.00,-6.21917586,106.56600718
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,60.00,-6.21921526,106.56602888
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,65.00,-6.21925627,106.56604745
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,70.00,-6.21929736,106.56606579
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,75.00,-6.21933983,106.56608065
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,80.00,-6.21938230,106.56609550
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,85.00,-6.21942514,106.56610905
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,90.00,-6.21946878,106.56611993
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,95.00,-6.21951244,106.56613074
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,100.00,-6.21955625,106.56614094
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,105.00,-6.21960061,106.56614784
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,110.00,-6.21964533,106.56615252
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,115.00,-6.21969029,106.56615366
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,120.00,-6.21973524,106.56615481
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,125.00,-6.21978016,106.56615373
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,130.00,-6.21982507,106.56615148
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,135.00,-6.21986953,106.56614553
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,140.00,-6.21991363,106.56613670
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,145.00,-6.21995773,106.56612787
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,150.00,-6.22000183,106.56611904
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,155.00,-6.22004593,106.56611021
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,160.00,-6.22009003,106.56610138
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,165.00,-6.22013392,106.56609158
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,170.00,-6.22017756,106.56608068
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,175.00,-6.22022120,106.56606978
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,180.00,-6.22026484,106.56605889
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,185.00,-6.22030880,106.56604939
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,190.00,-6.22035276,106.56603989
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,195.00,-6.22039634,106.56602874
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,200.00,-6.22043991,106.56601758
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,205.00,-6.22048349,106.56600642
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,210.00,-6.22052724,106.56599599
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,215.00,-6.22057109,106.56598597
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,220.00,-6.22061518,106.56597717
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,225.00,-6.22065943,106.56596909
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,230.00,-6.22070367,106.56596101
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,235.00,-6.22074792,106.56595294
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,240.00,-6.22079216,106.56594486
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,245.00,-6.22083661,106.56593807
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,250.00,-6.22088116,106.56593195
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,255.00,-6.22092587,106.56592741
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,260.00,-6.22097073,106.56592436
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,265.00,-6.22101562,106.56592297
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,270.00,-6.22106054,106.56592501
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,275.00,-6.22110522,106.56592943
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,280.00,-6.22114962,106.56593655
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,285.00,-6.22119368,106.56594499
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,290.00,-6.22123581,106.56596080
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,295.00,-6.22127794,106.56597660
01_BITUNG_RAMP_A_ON_R003,BITUNG,RAMP,A,ON,300.00,-6.22131956,106.56599360
